157,荒蛮故事/Relatos salvajes
158,被解救的姜戈/Django Unchained
159,"三块广告牌/Three Billboards Outside Ebbing, Missouri"
160,达拉斯买家俱乐部/Dallas Buyers Club
161,花样年华/花樣年華
162,雨人/Rain Man
163,我是山姆/I Am Sam
164,哪吒闹海
165,你的名字。/君の名は。
166,卢旺达饭店/Hotel Rwanda
167,头脑特工队/Inside Out
168,你看起来好像很好吃/おまえうまそうだな
169,海边的曼彻斯特/Manchester by the Sea
170,恋恋笔记本/The Notebook
171,无敌破坏王/Wreck-It Ralph
172,冰川时代/Ice Age
173,天书奇谭
174,未麻的部屋/Perfect Blue
175,模仿游戏/The Imitation Game
176,二十二
177,虎口脱险/La grande vadrouille
178,一个叫欧维的男人决定去死/En man som heter Ove
179,忠犬八公物语/ハチ公物語
180,爆裂鼓手/Whiplash
181,头号玩家/Ready Player One
182,雨中曲/Singin' in the Rain
183,海洋/Océans
184,功夫
185,黑客帝国3：矩阵革命/The Matrix Revolutions
186,人工智能/Artificial Intelligence: AI
187,燃情岁月/Legends of the Fall
188,房间/Room
189,魔女宅急便/魔女の宅急便
190,海街日记/海街diary
191,恐怖游轮/Triangle
192,穿越时空的少女/時をかける少女
193,魂断蓝桥/Waterloo Bridge
194,惊魂记/Psycho
195,罗生门/羅生門
196,猜火车/Trainspotting
197,完美陌生人/Perfetti sconosciuti
198,阿飞正传/阿飛正傳
199,香水/Perfume: The Story of a Murderer
200,疯狂的石头
201,可可西里
202,釜山行/???
203,牯岭街少年杀人事件/牯嶺街少年殺人事件
204,奇迹男孩/Wonder
205,初恋这件小事/???????????????????????...???
206,谍影重重2/The Bourne Supremacy
207,谍影重重/The Bourne Identity
208,战争之王/Lord of War
209,朗读者/The Reader
210,浪潮/Die Welle
211,地球上的星星/Taare Zameen Par
212,青蛇
213,终结者2：审判日/Terminator 2: Judgment Day
214,爱在午夜降临前/Before Midnight
215,2001太空漫游/2001: A Space Odyssey
216,新龙门客栈/新龍門客棧
217,新世界/???
218,源代码/Source Code
219,绿皮书/Green Book
220,步履不停/歩いても 歩いても
221,无耻混蛋/Inglourious Basterds
222,绿里奇迹/The Green Mile
223,再次出发之纽约遇见你/Begin Again
224,小萝莉的猴神大叔/Bajrangi Bhaijaan
225,追随/Following
226,一次别离/????? ???? ?? ?????
227,血钻/Blood Diamond
228,彗星来的那一夜/Coherence
229,城市之光/City Lights
230,疯狂的麦克斯4：狂暴之路/Mad Max: Fury Road
231,东京物语/東京物語
232,哈利·波特与阿兹卡班的囚徒/Harry Potter and the Prisoner of Azkaban
233,撞车/Crash
234,哈利·波特与密室/Harry Potter and the Chamber of Secrets
235,梦之安魂曲/Requiem for a Dream
236,聚焦/Spotlight
237,发条橙/A Clockwork Orange
238,遗愿清单/The Bucket List
239,黑鹰坠落/Black Hawk Down
240,E.T. 外星人/E.T.: The Extra-Terrestrial
241,末路狂花/Thelma & Louise
242,这个男人来自地球/The Man from Earth
243,我爱你/??? ?????
244,驴得水
245,变脸/Face/Off
246,千钧一发/Gattaca
247,国王的演讲/The King's Speech
248,"黄金三镖客/Il buono, il brutto, il cattivo."
249,勇闯夺命岛/The Rock
250,色，戒
